id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
48660;Porteur;Gatekeeper;Male;French;1000;07.07.2016 21:24:01;myData.biz
48661;Portia;;Female;Latin;15000;07.07.2016 21:24:07;myData.biz
48662;Portia;meaning unknown;Female;English;15000;07.07.2016 21:24:14;myData.biz
48663;Portier;Gatekeeper;Male;French;3000;07.07.2016 21:24:23;myData.biz
48664;Posala;"Miwok name meaning &quot; farewell to spring flowers.&quot; POWAQA";Female;Native;43;07.07.2016 21:24:32;myData.biz
48665;Poseidon;myth name (god of the sea and ocean);Male;Greek;9000;07.07.2016 21:24:39;myData.biz
48666;Poston;Gatekeeper;Male;Old French;5000;07.07.2016 21:24:48;myData.biz
48667;Poul;little;Male;Danish;10000;07.07.2016 21:24:55;myData.biz
48668;Powaqa;Witch (Hopi);Female;Native American;8;07.07.2016 21:25:03;myData.biz
48669;Powell;Son of Howell;Male;Celtic;161000;07.07.2016 21:25:11;myData.biz
48670;Powwaw;"Algonquin name meaning &quot; priest.&quot;";Male;Native;1;07.07.2016 21:25:18;myData.biz
48671;Powwaw;Priest (Algonquin);Male;Native American;1;07.07.2016 21:25:26;myData.biz
48672;Pramlocha;myth name (a nymph);Female;Indian;2;07.07.2016 21:25:35;myData.biz
48673;Pranav;Prayer;Male;Indian;24000;07.07.2016 21:25:43;myData.biz
48674;Pranay;Innocent Love;Male;Indian;10000;07.07.2016 21:25:54;myData.biz
48675;Prasutagus;name of a king;Male;Anglo;1;07.07.2016 21:25:58;myData.biz
48676;Prasutagus;Name of a king;Male;Anglo-Saxon;1;07.07.2016 21:26:06;myData.biz
48677;Pratham;First.;Male;Sanskrit;4000;07.07.2016 21:26:18;myData.biz
48678;Praza;from Prague;Male;Czechoslovakian;208;07.07.2016 21:26:23;myData.biz
48679;Prentice;Apprentice: learner. Surname.;Male;English;13000;07.07.2016 21:26:33;myData.biz
48680;Prentice;scholar;Male;English;13000;07.07.2016 21:26:38;myData.biz
48681;Prentiss;Scholar;Male;English;3000;07.07.2016 21:26:50;myData.biz
48682;Preostcot;From the Priest's dwelling;Male;English;0;07.07.2016 21:26:54;myData.biz
48683;Preruet;Brave;Male;French;8;07.07.2016 21:27:05;myData.biz
48684;Prescot;Priest's cottage. Surname.;Male;English;1000;07.07.2016 21:27:12;myData.biz
48685;Prescott;from the priest's dwelling;Male;English;37000;07.07.2016 21:27:19;myData.biz
48686;Presley;;Female;Unknown;20000;07.07.2016 21:27:27;myData.biz
48687;Presley;From the priest's meadow;Male;English;20000;07.07.2016 21:27:34;myData.biz
48688;Prestin;From the Priest's farm;Male;English;429;07.07.2016 21:27:44;myData.biz
48689;Preston;from the priest's farm;Male;English;200000;07.07.2016 21:27:51;myData.biz
48690;Preston;Priest's town.;Male;English;200000;07.07.2016 21:27:58;myData.biz
48691;Prewitt;Brave;Male;French;4000;07.07.2016 21:28:07;myData.biz
48692;Prewitt,;brave;Male;French;4000;07.07.2016 21:28:14;myData.biz
48693;Priam;myth name (king of Troy);Male;Greek;777;07.07.2016 21:28:23;myData.biz
48694;Priapus;myth name (god of fertility);Male;Greek;117;07.07.2016 21:28:33;myData.biz
48695;Pridwyn;name of Arthur's ship;Female;Arthurian;0;07.07.2016 21:28:38;myData.biz
48696;Pridwyn;Name of Arthur's ship;Female;Arthurian Legend;0;07.07.2016 21:28:46;myData.biz
48697;Priestly;From the priest's meadow;Male;English;1000;07.07.2016 21:28:55;myData.biz
48698;Primavera;Springtime;Female;Spanish;18000;07.07.2016 21:29:03;myData.biz
48699;Primeiro;Born first;Male;Spanish;7000;07.07.2016 21:29:12;myData.biz
48700;Prince;Principal one: first. The rock musician Prince.;Male;English;708000;07.07.2016 21:29:20;myData.biz
48701;Princeton;Principal one: first. The rock musician Prince.;Male;English;126000;07.07.2016 21:29:27;myData.biz
48702;Prior;Servant of the priory;Male;English;33000;07.07.2016 21:29:35;myData.biz
48703;Priour;Head of a priory;Male;French;112;07.07.2016 21:29:44;myData.biz
48704;Priscilla;;Female;Unknown;91000;07.07.2016 21:29:50;myData.biz
48705;Priyana;Ideal;Female;Indian;541;07.07.2016 21:30:01;myData.biz
48706;Priyanka;beloved;Female;Indian;74000;07.07.2016 21:30:10;myData.biz
48707;Procne;myth name (wife of Pandion);Female;Greek;33;07.07.2016 21:30:17;myData.biz
